DrugBank ID,Name,Type,UniProt ID,UniProt Name
DB00006,Bivalirudin,SmallMoleculeDrug,P05164,Myeloperoxidase
DB00035,Desmopressin,SmallMoleculeDrug,P35354,Prostaglandin G/H synthase 2
DB00035,Desmopressin,SmallMoleculeDrug,P23219,Prostaglandin G/H synthase 1
DB00091,Cyclosporine,SmallMoleculeDrug,P33261,Cytochrome P450 2C19
DB00091,Cyclosporine,SmallMoleculeDrug,P10635,Cytochrome P450 2D6
DB00091,Cyclosporine,SmallMoleculeDrug,P20815,Cytochrome P450 3A5
DB00091,Cyclosporine,SmallMoleculeDrug,P08684,Cytochrome P450 3A4
DB00115,Cyanocobalamin,SmallMoleculeDrug,Q96EY8,"Cob(I)yrinic acid a,c-diamide adenosyltransferase, mitochondrial"
DB00115,Cyanocobalamin,SmallMoleculeDrug,Q05599,Bifunctional adenosylcobalamin biosynthesis protein CobU
DB00118,Ademetionine,SmallMoleculeDrug,P19623,Spermidine synthase
DB00118,Ademetionine,SmallMoleculeDrug,P05181,Cytochrome P450 2E1
DB00121,Biotin,SmallMoleculeDrug,Q16678,Cytochrome P450 1B1
DB00122,Choline,SmallMoleculeDrug,Q9Y6K0,Choline/ethanolaminephosphotransferase 1
DB00122,Choline,SmallMoleculeDrug,Q9Y259,Choline/ethanolamine kinase
DB00122,Choline,SmallMoleculeDrug,P28329,Choline O-acetyltransferase
DB00122,Choline,SmallMoleculeDrug,P35790,Choline kinase alpha
DB00122,Choline,SmallMoleculeDrug,Q8NE62,"Choline dehydrogenase, mitochondrial"
DB00126,Ascorbic acid,SmallMoleculeDrug,Q16881,"Thioredoxin reductase 1, cytoplasmic"
DB00127,Spermine,SmallMoleculeDrug,P21673,Diamine acetyltransferase 1
DB00127,Spermine,SmallMoleculeDrug,Q96F10,Diamine acetyltransferase 2
DB00127,Spermine,SmallMoleculeDrug,P47989,Xanthine dehydrogenase/oxidase
DB00128,Aspartic acid,SmallMoleculeDrug,P27708,CAD protein
DB00130,L-Glutamine,SmallMoleculeDrug,P00488,Coagulation factor XIII A chain
DB00130,L-Glutamine,SmallMoleculeDrug,O94925,"Glutaminase kidney isoform, mitochondrial"
DB00130,L-Glutamine,SmallMoleculeDrug,Q9UI32,"Glutaminase liver isoform, mitochondrial"
DB00130,L-Glutamine,SmallMoleculeDrug,P21980,Protein-glutamine gamma-glutamyltransferase 2
DB00130,L-Glutamine,SmallMoleculeDrug,O43548,Protein-glutamine gamma-glutamyltransferase 5
DB00130,L-Glutamine,SmallMoleculeDrug,O95932,Protein-glutamine gamma-glutamyltransferase 6
DB00130,L-Glutamine,SmallMoleculeDrug,P22735,Protein-glutamine gamma-glutamyltransferase K
DB00130,L-Glutamine,SmallMoleculeDrug,P49221,Protein-glutamine gamma-glutamyltransferase 4
DB00130,L-Glutamine,SmallMoleculeDrug,Q08188,Protein-glutamine gamma-glutamyltransferase E
DB00130,L-Glutamine,SmallMoleculeDrug,Q96PF1,Protein-glutamine gamma-glutamyltransferase Z
DB00130,L-Glutamine,SmallMoleculeDrug,P49915,GMP synthase [glutamine-hydrolyzing]
DB00130,L-Glutamine,SmallMoleculeDrug,P08243,Asparagine synthetase [glutamine-hydrolyzing]
DB00130,L-Glutamine,SmallMoleculeDrug,Q16773,Kynurenine--oxoglutarate transaminase 1
DB00130,L-Glutamine,SmallMoleculeDrug,O15067,Phosphoribosylformylglycinamidine synthase
DB00130,L-Glutamine,SmallMoleculeDrug,O75879,"Glutamyl-tRNA(Gln) amidotransferase subunit B, mitochondrial"
DB00130,L-Glutamine,SmallMoleculeDrug,O94808,Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 2
DB00130,L-Glutamine,SmallMoleculeDrug,P27708,CAD protein
DB00130,L-Glutamine,SmallMoleculeDrug,P47897,Glutamine--tRNA ligase
DB00130,L-Glutamine,SmallMoleculeDrug,Q6IA69,Glutamine-dependent NAD(+) synthetase
DB00131,Adenosine phosphate,SmallMoleculeDrug,P23109,AMP deaminase 1
DB00131,Adenosine phosphate,SmallMoleculeDrug,P07741,Adenine phosphoribosyltransferase
DB00134,Methionine,SmallMoleculeDrug,P31153,S-adenosylmethionine synthase isoform type-2
DB00134,Methionine,SmallMoleculeDrug,Q9Y3D2,"Methionine-R-sulfoxide reductase B2, mitochondrial"
DB00134,Methionine,SmallMoleculeDrug,Q00266,S-adenosylmethionine synthase isoform type-1
DB00134,Methionine,SmallMoleculeDrug,Q9NZV6,Methionine-R-sulfoxide reductase B1
DB00134,Methionine,SmallMoleculeDrug,Q9UJ68,Mitochondrial peptide methionine sulfoxide reductase
DB00134,Methionine,SmallMoleculeDrug,P56192,"Methionine--tRNA ligase, cytoplasmic"
DB00134,Methionine,SmallMoleculeDrug,Q96GW9,"Methionine--tRNA ligase, mitochondrial"
DB00134,Methionine,SmallMoleculeDrug,Q9NZL9,Methionine adenosyltransferase 2 subunit beta
DB00134,Methionine,SmallMoleculeDrug,Q9H2M3,S-methylmethionine--homocysteine S-methyltransferase BHMT2
DB00134,Methionine,SmallMoleculeDrug,P15104,Glutamine synthetase
DB00134,Methionine,SmallMoleculeDrug,P42898,Methylenetetrahydrofolate reductase
DB00136,Calcitriol,SmallMoleculeDrug,Q07973,"1,25-dihydroxyvitamin D(3) 24-hydroxylase, mitochondrial"
DB00136,Calcitriol,SmallMoleculeDrug,P08684,Cytochrome P450 3A4
DB00139,Succinic acid,SmallMoleculeDrug,Q99643,"Succinate dehydrogenase cytochrome b560 subunit, mitochondrial"
DB00139,Succinic acid,SmallMoleculeDrug,P31040,"Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial"
DB00139,Succinic acid,SmallMoleculeDrug,Q96I99,"Succinyl-CoA ligase [GDP-forming] subunit beta, mitochondrial"
DB00139,Succinic acid,SmallMoleculeDrug,P13674,Prolyl 4-hydroxylase subunit alpha-1
DB00139,Succinic acid,SmallMoleculeDrug,O15460,Prolyl 4-hydroxylase subunit alpha-2
DB00139,Succinic acid,SmallMoleculeDrug,O60568,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 3"
DB00139,Succinic acid,SmallMoleculeDrug,Q32P28,Prolyl 3-hydroxylase 1
DB00139,Succinic acid,SmallMoleculeDrug,Q8IVL5,Prolyl 3-hydroxylase 2
DB00139,Succinic acid,SmallMoleculeDrug,Q8IVL6,Prolyl 3-hydroxylase 3
DB00139,Succinic acid,SmallMoleculeDrug,P55809,"Succinyl-CoA:3-ketoacid coenzyme A transferase 1, mitochondrial"
DB00139,Succinic acid,SmallMoleculeDrug,Q12797,Aspartyl/asparaginyl beta-hydroxylase
DB00140,Riboflavin,SmallMoleculeDrug,P21397,Amine oxidase [flavin-containing] A
DB00140,Riboflavin,SmallMoleculeDrug,P42898,Methylenetetrahydrofolate reductase
DB00143,Glutathione,SmallMoleculeDrug,P09210,Glutathione S-transferase A2
DB00143,Glutathione,SmallMoleculeDrug,P08263,Glutathione S-transferase A1
DB00145,Glycine,SmallMoleculeDrug,P48728,"Aminomethyltransferase, mitochondrial"
DB00145,Glycine,SmallMoleculeDrug,P23378,"Glycine dehydrogenase (decarboxylating), mitochondrial"
DB00145,Glycine,SmallMoleculeDrug,P09622,"Dihydrolipoyl dehydrogenase, mitochondrial"
DB00145,Glycine,SmallMoleculeDrug,P23434,"Glycine cleavage system H protein, mitochondrial"
DB00146,Calcifediol,SmallMoleculeDrug,O15528,"25-hydroxyvitamin D-1 alpha hydroxylase, mitochondrial"
DB00146,Calcifediol,SmallMoleculeDrug,Q07973,"1,25-dihydroxyvitamin D(3) 24-hydroxylase, mitochondrial"
DB00150,Tryptophan,SmallMoleculeDrug,P00953,Tryptophan--tRNA ligase
DB00150,Tryptophan,SmallMoleculeDrug,Q9UGM6,"Tryptophan--tRNA ligase, mitochondrial"
DB00150,Tryptophan,SmallMoleculeDrug,P17752,Tryptophan 5-hydroxylase 1
DB00150,Tryptophan,SmallMoleculeDrug,Q8IWU9,Tryptophan 5-hydroxylase 2
DB00150,Tryptophan,SmallMoleculeDrug,P23381,"Tryptophan--tRNA ligase, cytoplasmic"
DB00150,Tryptophan,SmallMoleculeDrug,P14902,"Indoleamine 2,3-dioxygenase 1"
DB00150,Tryptophan,SmallMoleculeDrug,P48775,"Tryptophan 2,3-dioxygenase"
DB00150,Tryptophan,SmallMoleculeDrug,P20711,Aromatic-L-amino-acid decarboxylase
DB00152,Thiamine,SmallMoleculeDrug,P13584,Cytochrome P450 4B1
DB00152,Thiamine,SmallMoleculeDrug,Q9H3S4,Thiamin pyrophosphokinase 1
DB00152,Thiamine,SmallMoleculeDrug,O75356,Ectonucleoside triphosphate diphosphohydrolase 5
DB00152,Thiamine,SmallMoleculeDrug,Q9BU02,Thiamine-triphosphatase
DB00153,Ergocalciferol,SmallMoleculeDrug,Q96AT9,Ribulose-phosphate 3-epimerase
DB00153,Ergocalciferol,SmallMoleculeDrug,P05108,"Cholesterol side-chain cleavage enzyme, mitochondrial"
DB00153,Ergocalciferol,SmallMoleculeDrug,Q07973,"1,25-dihydroxyvitamin D(3) 24-hydroxylase, mitochondrial"
DB00153,Ergocalciferol,SmallMoleculeDrug,O15528,"25-hydroxyvitamin D-1 alpha hydroxylase, mitochondrial"
DB00153,Ergocalciferol,SmallMoleculeDrug,Q02318,"Sterol 26-hydroxylase, mitochondrial"
DB00153,Ergocalciferol,SmallMoleculeDrug,Q6VVX0,Vitamin D 25-hydroxylase
DB00157,NADH,SmallMoleculeDrug,P14550,Alcohol dehydrogenase [NADP(+)]
DB00157,NADH,SmallMoleculeDrug,P07327,Alcohol dehydrogenase 1A
DB00157,NADH,SmallMoleculeDrug,P00325,Alcohol dehydrogenase 1B
DB00157,NADH,SmallMoleculeDrug,P08319,Alcohol dehydrogenase 4
DB00157,NADH,SmallMoleculeDrug,P11766,Alcohol dehydrogenase class-3
DB00157,NADH,SmallMoleculeDrug,P40394,Alcohol dehydrogenase class 4 mu/sigma chain
DB00157,NADH,SmallMoleculeDrug,P47989,Xanthine dehydrogenase/oxidase
DB00157,NADH,SmallMoleculeDrug,Q06278,Aldehyde oxidase
DB00157,NADH,SmallMoleculeDrug,P28332,Alcohol dehydrogenase 6
DB00158,Folic acid,SmallMoleculeDrug,Q92820,Gamma-glutamyl hydrolase
DB00158,Folic acid,SmallMoleculeDrug,P42898,Methylenetetrahydrofolate reductase
DB00158,Folic acid,SmallMoleculeDrug,P00374,Dihydrofolate reductase
DB00161,Valine,SmallMoleculeDrug,P26640,Valine--tRNA ligase
DB00161,Valine,SmallMoleculeDrug,P05166,"Propionyl-CoA carboxylase beta chain, mitochondrial"
DB00161,Valine,SmallMoleculeDrug,P54687,"Branched-chain-amino-acid aminotransferase, cytosolic"
DB00162,Vitamin A,SmallMoleculeDrug,O43174,Cytochrome P450 26A1
DB00163,Vitamin E,SmallMoleculeDrug,P09211,Glutathione S-transferase P
DB00163,Vitamin E,SmallMoleculeDrug,P78417,Glutathione S-transferase omega-1
DB00163,Vitamin E,SmallMoleculeDrug,P21266,Glutathione S-transferase Mu 3
DB00163,Vitamin E,SmallMoleculeDrug,P48506,Glutamate--cysteine ligase catalytic subunit
DB00163,Vitamin E,SmallMoleculeDrug,P15559,NAD(P)H dehydrogenase [quinone] 1
DB00163,Vitamin E,SmallMoleculeDrug,P09601,Heme oxygenase 1
DB00163,Vitamin E,SmallMoleculeDrug,P00441,Superoxide dismutase [Cu-Zn]
DB00163,Vitamin E,SmallMoleculeDrug,P08684,Cytochrome P450 3A4
DB00163,Vitamin E,SmallMoleculeDrug,P09210,Glutathione S-transferase A2
DB00165,Pyridoxine,SmallMoleculeDrug,P04798,Cytochrome P450 1A1
DB00165,Pyridoxine,SmallMoleculeDrug,O00764,Pyridoxal kinase
DB00165,Pyridoxine,SmallMoleculeDrug,Q96GD0,Pyridoxal phosphate phosphatase
DB00165,Pyridoxine,SmallMoleculeDrug,P05186,"Alkaline phosphatase, tissue-nonspecific isozyme"
DB00166,Lipoic acid,SmallMoleculeDrug,P16435,NADPH--cytochrome P450 reductase
DB00169,Cholecalciferol,SmallMoleculeDrug,Q6VVX0,Vitamin D 25-hydroxylase
DB00169,Cholecalciferol,SmallMoleculeDrug,Q02318,"Sterol 26-hydroxylase, mitochondrial"
DB00169,Cholecalciferol,SmallMoleculeDrug,P51589,Cytochrome P450 2J2
DB00169,Cholecalciferol,SmallMoleculeDrug,P08684,Cytochrome P450 3A4
DB00169,Cholecalciferol,SmallMoleculeDrug,P05108,"Cholesterol side-chain cleavage enzyme, mitochondrial"
DB00169,Cholecalciferol,SmallMoleculeDrug,P04798,Cytochrome P450 1A1
DB00169,Cholecalciferol,SmallMoleculeDrug,P10632,Cytochrome P450 2C8
DB00170,Menadione,SmallMoleculeDrug,P05177,Cytochrome P450 1A2
DB00170,Menadione,SmallMoleculeDrug,P11509,Cytochrome P450 2A6
DB00170,Menadione,SmallMoleculeDrug,Q16678,Cytochrome P450 1B1
DB00170,Menadione,SmallMoleculeDrug,P20813,Cytochrome P450 2B6
DB00170,Menadione,SmallMoleculeDrug,P10632,Cytochrome P450 2C8
DB00170,Menadione,SmallMoleculeDrug,P11712,Cytochrome P450 2C9
DB00170,Menadione,SmallMoleculeDrug,P33261,Cytochrome P450 2C19
DB00170,Menadione,SmallMoleculeDrug,P10635,Cytochrome P450 2D6
DB00170,Menadione,SmallMoleculeDrug,P05181,Cytochrome P450 2E1
DB00170,Menadione,SmallMoleculeDrug,P08684,Cytochrome P450 3A4
DB00170,Menadione,SmallMoleculeDrug,P20815,Cytochrome P450 3A5
DB00170,Menadione,SmallMoleculeDrug,P24462,Cytochrome P450 3A7
DB00170,Menadione,SmallMoleculeDrug,P47989,Xanthine dehydrogenase/oxidase
DB00170,Menadione,SmallMoleculeDrug,Q06278,Aldehyde oxidase
DB00170,Menadione,SmallMoleculeDrug,P42898,Methylenetetrahydrofolate reductase
DB00170,Menadione,SmallMoleculeDrug,P04798,Cytochrome P450 1A1
DB00171,ATP,SmallMoleculeDrug,P55263,Adenosine kinase
DB00172,Proline,SmallMoleculeDrug,O43272,"Proline dehydrogenase 1, mitochondrial"
DB00173,Adenine,SmallMoleculeDrug,P22309,UDP-glucuronosyltransferase 1-1
DB00176,Fluvoxamine,SmallMoleculeDrug,P10635,Cytochrome P450 2D6
DB00176,Fluvoxamine,SmallMoleculeDrug,P05177,Cytochrome P450 1A2
DB00176,Fluvoxamine,SmallMoleculeDrug,P04798,Cytochrome P450 1A1
DB00176,Fluvoxamine,SmallMoleculeDrug,P08684,Cytochrome P450 3A4
DB00176,Fluvoxamine,SmallMoleculeDrug,P08684,Cytochrome P450 3A4
